Country,City Name
ID,Sungai Penuh
ID,Surabaya
ID,Surakarta
ID,Tangerang
ID,Tangerang Selatan
ID,Tangerang Selatan
ID,Tanjung Balai
ID,Tanjung Pinang
ID,Tarakan
ID,Tasikmalaya
ID,Tebing Tinggi
ID,Tegal
ID,Ternate
ID,Tidore Kepulauan
ID,Tomohon
ID,Yogyakarta
ID,KotaTual
